detector-Id,latitude,longitude,detector-type,lane-id,lane-name
QCDS05 - I-74 WB @ MM 5.7 Memori,41514772,-90512868,Microwave Radar,1,QCDS05-WB LL
QCDS05 - I-74 WB @ MM 5.7 Memori,41514772,-90512868,Microwave Radar,2,QCDS05-WB RL
QCDS06 - I-74 WB @ Toll Plaza Me,41517076,-90513071,Microwave Radar,1,QCDS06-WB LL
QCDS06 - I-74 WB @ Toll Plaza Me,41517076,-90513071,Microwave Radar,2,QCDS06-WB RL
QCDS07 - I-74 WB @ South Tower M,0,-90513061,Video Image,1,QCDS07-WB LL
QCDS07 - I-74 WB @ South Tower M,0,-90513061,Video Image,2,QCDS07-WB RL
QCDS08 - I-74 WB @ North Tower M,41520668,-90513062,Video Image,1,QCDS08-WB LL
QCDS08 - I-74 WB @ North Tower M,41520668,-90513062,Video Image,2,QCDS08-WB RL
QCDS13 - I-74 WB @ Grant St,41524100,-90513294,Microwave Radar,1,QCDS13-WB LL
QCDS13 - I-74 WB @ Grant St,41524100,-90513294,Microwave Radar,2,QCDS13-WB RL
QCDS15 - I-74 WB @ Middle Rd,41543663,-90518319,Microwave Radar,2,QCDS15-WB RL
QCDS15 - I-74 WB @ Middle Rd,41543663,-90518319,Microwave Radar,1,QCDS15-WB LL
QCDS17 - I-74 WB @ North of Spru,41559345,-90522069,Microwave Radar,1,QCDS17-WB LL
QCDS17 - I-74 WB @ North of Spru,41559345,-90522069,Microwave Radar,2,QCDS17-WB RL
QCDS16 - I-74 WB @ South of Spru,41551497,-90521562,Microwave Radar,2,QCDS16-WB RL
QCDS16 - I-74 WB @ South of Spru,41551497,-90521562,Microwave Radar,1,QCDS16-WB LL
QCDS17 - I-74 EB @ North of Spru,41560067,-90522819,Microwave Radar,2,QCDS17-EB RL
QCDS17 - I-74 EB @ North of Spru,41560067,-90522819,Microwave Radar,1,QCDS17-EB LL
QCDS18 - I-74 WB @ E 53rd St,41571016,-90521794,Microwave Radar,2,QCDS18-WB RL
QCDS18 - I-74 WB @ E 53rd St,41571016,-90521794,Microwave Radar,1,QCDS18-WB LL
QCDS18 - I-74 EB @ E 53rd St,41570944,-90522576,Microwave Radar,1,QCDS18-EB LL
QCDS18 - I-74 EB @ E 53rd St,41570944,-90522576,Microwave Radar,2,QCDS18-EB RL
QCDS16 - I-74 EB @ South of Spru,41550959,-90521462,Microwave Radar,1,QCDS16-EB LL
QCDS16 - I-74 EB @ South of Spru,41550959,-90521462,Microwave Radar,2,QCDS16-EB RL
QCDS15 - I-74 EB @ Middle Rd,41543205,-90518205,Microwave Radar,1,QCDS15-EB LL
QCDS15 - I-74 EB @ Middle Rd,41543205,-90518205,Microwave Radar,2,QCDS15-EB RL
QCDS13 - I-74 EB @ Grant St,41523522,-90513692,Microwave Radar,2,QCDS13-EB RL
QCDS13 - I-74 EB @ Grant St,41523522,-90513692,Microwave Radar,1,QCDS13-EB LL
QCDS12 - I-74 EB @ North Tower M,41520642,-90513461,Video Image,1,QCDS12-EB LL
QCDS12 - I-74 EB @ North Tower M,41520642,-90513461,Video Image,2,QCDS12-EB RL
QCDS11 - I-74 EB @ South Tower M,41518611,-90513418,Video Image,1,QCDS11-EB LL
QCDS11 - I-74 EB @ South Tower M,41518611,-90513418,Video Image,2,QCDS11-EB RL
QCDS10 - I-74 EB @ Toll Plaza Me,41517080,-90513256,Video Image,1,QCDS10-EB LL
QCDS10 - I-74 EB @ Toll Plaza Me,41517080,-90513256,Video Image,2,QCDS10-EB RL
QCDS09 - I-74 EB @ MM 5.7 Memori,41514658,-90513005,Video Image,1,QCDS09-EB LL
QCDS09 - I-74 EB @ MM 5.7 Memori,41514658,-90513005,Video Image,2,QCDS09-EB RL
QCDS01 - I-74 EB @ Avenue of the,0,0,Microwave Radar,1,MVDS01-EB LL
QCDS01 - I-74 EB @ Avenue of the,0,0,Microwave Radar,2,MVDS01-EB RL
QCDS14 - I-74 WB @ South of Linc,41532710,-90515247,Microwave Radar,2,QCDS14-WB RL
QCDS14 - I-74 WB @ South of Linc,41532710,-90515247,Microwave Radar,1,QCDS14-WB LL
QCDS14 - I-74 EB @ South of Linc,41535161,-90516178,Microwave Radar,1,QCDS14-EB LL
QCDS14 - I-74 EB @ South of Linc,41535161,-90516178,Microwave Radar,2,QCDS14-EB RL
QCDS19 - I-80 WB @ MM 287.5 Walc,41604551,-90724713,Microwave Radar,1,QCDS19-WB LL
QCDS19 - I-80 WB @ MM 287.5 Walc,41604551,-90724713,Microwave Radar,2,QCDS19-WB RL
QCDS20 - I-80 WB @ Maysville Rd,41603903,-90685631,Microwave Radar,1,QCDS20-WB LL
QCDS20 - I-80 WB @ Maysville Rd,41603903,-90685631,Microwave Radar,2,QCDS20-WB RL
QCDS21 - I-80 WB On Ramp @ I-280,41602607,-90677910,Microwave Radar,1,QCDS21-WB LL
QCDS21 - I-80 WB On Ramp @ I-280,41602607,-90677910,Microwave Radar,2,QCDS21-WB RL
QCDS22 - I-80 WB @ IA 130,41600053,-90618934,Microwave Radar,1,QCDS22-WB LL
QCDS22 - I-80 WB @ IA 130,41600053,-90618934,Microwave Radar,2,QCDS22-WB RL
QCDS20 - I-80 WB On Ramp @ I-280,41603837,-90685559,Microwave Radar,1,QCDS20-WB EN
